timestamp,week_label,action,rows
2025-12-16 13:24:44.275344,2025-48,skipped,NA
2025-12-16 13:24:49.317821,2025-49,skipped,NA
2025-12-16 13:29:29.186163,2025-48,skipped,NA
2025-12-16 13:29:34.327587,2025-49,skipped,NA
2025-12-16 13:38:13.318556,2025-48,skipped,NA
2025-12-16 13:38:18.336005,2025-49,skipped,NA
2025-12-16 13:40:52.936499,2025-48,skipped,NA
2025-12-16 13:40:57.968448,2025-49,skipped,NA
2025-12-16 13:46:50.1838,2025-48,skipped,NA
2025-12-16 13:46:55.200181,2025-49,skipped,NA
2025-12-16 13:56:15.806493,2025-48,skipped,NA
2025-12-16 13:56:20.823527,2025-49,skipped,NA
2025-12-16 14:00:34.375725,2025-48,skipped,NA
2025-12-16 14:00:39.397979,2025-49,skipped,NA
2025-12-16 14:07:51.283963,2025-48,skipped,NA
2025-12-16 14:07:56.311928,2025-49,skipped,NA
2025-12-16 14:12:36.937841,2025-48,skipped,NA
